baseline,task,tier,macro_f1,n_test
PubMedBERT-base (strong),aed_response,bronze,0.38737337145844747,2467
PubMedBERT-base (strong),surgery_outcome,silver,0.48255046839952503,249
PubMedBERT-base (strong),surgery_outcome,gold,0.4314204314204314,127
PubMedBERT-base (strong),surgery_outcome,bronze,0.4691643435098932,633
PubMedBERT-base (strong),status_epilepticus,silver,0.5803689064558629,42
PubMedBERT-base (strong),status_epilepticus,gold,0.6485024970226168,121
PubMedBERT-base (strong),status_epilepticus,bronze,0.336352579543241,243
Bio_ClinicalBERT,epilepsy_type,silver,0.643211262841732,1290
Bio_ClinicalBERT,epilepsy_type,gold,0.641130251153843,390
Bio_ClinicalBERT,epilepsy_type,bronze,0.6487860483208021,6194
Bio_ClinicalBERT,seizure_type,silver,0.5761104448835853,962
Bio_ClinicalBERT,seizure_type,gold,0.7124544067588628,425
Bio_ClinicalBERT,seizure_type,bronze,0.5402435750681155,4998
Bio_ClinicalBERT,ez_localization,silver,0.6046108083577441,1051
Bio_ClinicalBERT,ez_localization,gold,0.6610812871072789,401
Bio_ClinicalBERT,ez_localization,bronze,0.6427883011923042,3457
Bio_ClinicalBERT,aed_response,silver,0.4204413472706155,738
Bio_ClinicalBERT,aed_response,gold,0.4754230637170746,401
Bio_ClinicalBERT,aed_response,bronze,0.34476212902825426,2467
Bio_ClinicalBERT,surgery_outcome,silver,0.5675515773803843,249
Bio_ClinicalBERT,surgery_outcome,gold,0.4541675473825125,127
Bio_ClinicalBERT,surgery_outcome,bronze,0.5388701997109758,633
Bio_ClinicalBERT,status_epilepticus,silver,0.25727866904337493,42
Bio_ClinicalBERT,status_epilepticus,gold,0.3694569456945695,121
Bio_ClinicalBERT,status_epilepticus,bronze,0.2933295085102314,243
Bio_ClinicalBERT (strong),epilepsy_type,silver,0.623498507849601,1290
Bio_ClinicalBERT (strong),epilepsy_type,gold,0.6097206779588273,390
Bio_ClinicalBERT (strong),epilepsy_type,bronze,0.6542447646878079,6194
Bio_ClinicalBERT (strong),seizure_type,silver,0.5307206964022102,962
Bio_ClinicalBERT (strong),seizure_type,gold,0.5560273430310692,425
Bio_ClinicalBERT (strong),seizure_type,bronze,0.5407357025760908,4998
Bio_ClinicalBERT (strong),ez_localization,silver,0.6194864159455984,1051
Bio_ClinicalBERT (strong),ez_localization,gold,0.7020174887947852,401
Bio_ClinicalBERT (strong),ez_localization,bronze,0.6541324710175962,3457
Bio_ClinicalBERT (strong),aed_response,silver,0.3916761148904006,738
Bio_ClinicalBERT (strong),aed_response,gold,0.430862497358661,401
Bio_ClinicalBERT (strong),aed_response,bronze,0.38254948692701785,2467
Bio_ClinicalBERT (strong),surgery_outcome,silver,0.40826422231922016,249
Bio_ClinicalBERT (strong),surgery_outcome,gold,0.5779081133919843,127
Bio_ClinicalBERT (strong),surgery_outcome,bronze,0.5449387900226569,633
Bio_ClinicalBERT (strong),status_epilepticus,silver,0.20476190476190478,42
Bio_ClinicalBERT (strong),status_epilepticus,gold,0.2926761347813979,121
Bio_ClinicalBERT (strong),status_epilepticus,bronze,0.37010368719992587,243
BiomedBERT-large,epilepsy_type,silver,0.6531630054567352,1290
BiomedBERT-large,epilepsy_type,gold,0.6649852852209903,390
BiomedBERT-large,epilepsy_type,bronze,0.6699913426427563,6194
BiomedBERT-large,seizure_type,silver,0.5470842356037261,962
BiomedBERT-large,seizure_type,gold,0.734706707733299,425
BiomedBERT-large,seizure_type,bronze,0.5545159313337319,4998
BiomedBERT-large,ez_localization,silver,0.6215422752695313,1051
BiomedBERT-large,ez_localization,gold,0.7523831471191679,401
BiomedBERT-large,ez_localization,bronze,0.6709338337006994,3457
BiomedBERT-large,aed_response,silver,0.42726843665479425,738
BiomedBERT-large,aed_response,gold,0.4861479571786604,401
BiomedBERT-large,aed_response,bronze,0.39684169534911956,2467
BiomedBERT-large,surgery_outcome,silver,0.45868969660332376,249
BiomedBERT-large,surgery_outcome,gold,0.4783726930151729,127
BiomedBERT-large,surgery_outcome,bronze,0.5002474379579039,633
BiomedBERT-large,status_epilepticus,silver,0.3823595856116182,42
BiomedBERT-large,status_epilepticus,gold,0.383498298543133,121
BiomedBERT-large,status_epilepticus,bronze,0.3024626977795828,243
BiomedBERT-large (strong),epilepsy_type,silver,0.6543798505184817,1290
BiomedBERT-large (strong),epilepsy_type,gold,0.6552172928319717,390
BiomedBERT-large (strong),epilepsy_type,bronze,0.6739549283092131,6194
BiomedBERT-large (strong),seizure_type,silver,0.5361951725807053,962
BiomedBERT-large (strong),seizure_type,gold,0.7254985737363856,425
BiomedBERT-large (strong),seizure_type,bronze,0.5440617217903758,4998
BiomedBERT-large (strong),ez_localization,silver,0.6312467255603819,1051
BiomedBERT-large (strong),ez_localization,gold,0.7287195021988798,401
BiomedBERT-large (strong),ez_localization,bronze,0.6689980172474312,3457
BiomedBERT-large (strong),aed_response,silver,0.42044637940207785,738
BiomedBERT-large (strong),aed_response,gold,0.4052488665035822,401
BiomedBERT-large (strong),aed_response,bronze,0.3959821451452812,2467
BiomedBERT-large (strong),surgery_outcome,silver,0.3774158670090553,249
BiomedBERT-large (strong),surgery_outcome,gold,0.48427283364305873,127
BiomedBERT-large (strong),surgery_outcome,bronze,0.4647005637698117,633
BiomedBERT-large (strong),status_epilepticus,silver,0.6029239766081871,42
BiomedBERT-large (strong),status_epilepticus,gold,0.5796495956873315,121
BiomedBERT-large (strong),status_epilepticus,bronze,0.3886275124807235,243
Text-encoder ensemble (3-model strong),epilepsy_type,silver,0.6726341531894513,1290
Text-encoder ensemble (3-model strong),epilepsy_type,gold,0.6542449307315477,390
Text-encoder ensemble (3-model strong),epilepsy_type,bronze,0.6821174909143465,6194
Text-encoder ensemble (3-model strong),seizure_type,silver,0.5635487915334445,962
Text-encoder ensemble (3-model strong),seizure_type,gold,0.7828204900830599,425
Text-encoder ensemble (3-model strong),seizure_type,bronze,0.5523722445972867,4998
Text-encoder ensemble (3-model strong),ez_localization,silver,0.6218296086770388,1051
Text-encoder ensemble (3-model strong),ez_localization,gold,0.751998600298608,401
Text-encoder ensemble (3-model strong),ez_localization,bronze,0.6783825161115824,3457
Text-encoder ensemble (3-model strong),aed_response,silver,0.408824292667483,738
Text-encoder ensemble (3-model strong),aed_response,gold,0.4135033732607245,401
Text-encoder ensemble (3-model strong),aed_response,bronze,0.3949041583957494,2467
Text-encoder ensemble (3-model strong),surgery_outcome,silver,0.44630477436232835,249
Text-encoder ensemble (3-model strong),surgery_outcome,gold,0.4502164502164502,127
Text-encoder ensemble (3-model strong),surgery_outcome,bronze,0.5120823849701412,633
Text-encoder ensemble (3-model strong),status_epilepticus,silver,0.6032125768967873,42
Text-encoder ensemble (3-model strong),status_epilepticus,gold,0.5503265492635945,121
Text-encoder ensemble (3-model strong),status_epilepticus,bronze,0.35768668204897586,243
Llama-3.1-8B + LoRA,epilepsy_type,silver,0.6483539481497702,1290
Llama-3.1-8B + LoRA,epilepsy_type,gold,0.6135181637033604,390
Llama-3.1-8B + LoRA,epilepsy_type,bronze,0.6436536563666497,6194
Llama-3.1-8B + LoRA,seizure_type,silver,0.539615397575452,962
Llama-3.1-8B + LoRA,seizure_type,gold,0.7325239602680009,425
Llama-3.1-8B + LoRA,seizure_type,bronze,0.5384636717717688,4998
Llama-3.1-8B + LoRA,ez_localization,silver,0.6198450792800001,1051
Llama-3.1-8B + LoRA,ez_localization,gold,0.7360202638111509,401
Llama-3.1-8B + LoRA,ez_localization,bronze,0.5893840454392556,3457
Llama-3.1-8B + LoRA,aed_response,silver,0.41380724172607336,738
Llama-3.1-8B + LoRA,aed_response,gold,0.47283851860604686,401
Llama-3.1-8B + LoRA,aed_response,bronze,0.401972558236195,2467
Llama-3.1-8B + LoRA,surgery_outcome,silver,0.3813443098974083,249
Llama-3.1-8B + LoRA,surgery_outcome,gold,0.6130501222002034,127
Llama-3.1-8B + LoRA,surgery_outcome,bronze,0.47576065557236474,633
Llama-3.1-8B + LoRA,status_epilepticus,silver,0.4283538424615877,42
Llama-3.1-8B + LoRA,status_epilepticus,gold,0.5033385514165134,121
Llama-3.1-8B + LoRA,status_epilepticus,bronze,0.3997305503574603,243
DeBERTa-v3-large,epilepsy_type,silver,0.18765133171912832,1290
DeBERTa-v3-large,epilepsy_type,gold,0.18032786885245902,390
DeBERTa-v3-large,epilepsy_type,bronze,0.1605655414291977,6194
DeBERTa-v3-large,seizure_type,silver,0.16758811333794058,962
DeBERTa-v3-large,seizure_type,gold,0.23009758602978944,425
DeBERTa-v3-large,seizure_type,bronze,0.13368513632365875,4998
DeBERTa-v3-large,ez_localization,silver,0.15336411609498682,1051
DeBERTa-v3-large,ez_localization,gold,0.15549828178694158,401
DeBERTa-v3-large,ez_localization,bronze,0.14235464514794124,3457
DeBERTa-v3-large,aed_response,silver,0.18289085545722714,738
DeBERTa-v3-large,aed_response,gold,0.2240618101545254,401
DeBERTa-v3-large,aed_response,bronze,0.19406130268199231,2467
DeBERTa-v3-large,surgery_outcome,silver,0.4028776978417266,249
DeBERTa-v3-large,surgery_outcome,gold,0.37745098039215685,127
DeBERTa-v3-large,surgery_outcome,bronze,0.3866279069767442,633
DeBERTa-v3-large,status_epilepticus,silver,0.13836477987421383,42
DeBERTa-v3-large,status_epilepticus,gold,0.17777777777777778,121
DeBERTa-v3-large,status_epilepticus,bronze,0.17125382262996944,243
MedSigLIP-MRI (LR),epilepsy_type,silver,0.36490698843640024,105
MedSigLIP-MRI (LR),epilepsy_type,gold,0.2390868504242693,273
MedSigLIP-MRI (LR),epilepsy_type,bronze,0.42686870476558636,270
MedSigLIP-MRI (LR),seizure_type,silver,0.5465807810727596,123
MedSigLIP-MRI (LR),seizure_type,gold,0.3026162853910153,293
MedSigLIP-MRI (LR),seizure_type,bronze,0.28587627445577296,184
MedSigLIP-MRI (LR),ez_localization,silver,0.498051948051948,49
MedSigLIP-MRI (LR),ez_localization,gold,0.37274795970448144,275
MedSigLIP-MRI (LR),ez_localization,bronze,0.31221707249958186,102
MedSigLIP-MRI (LR),aed_response,silver,0.30038759689922484,67
MedSigLIP-MRI (LR),aed_response,gold,0.39678501082772466,280
MedSigLIP-MRI (LR),aed_response,bronze,0.34155844155844156,35
MedSigLIP-MRI (LR),surgery_outcome,silver,0.1,9
MedSigLIP-MRI (LR),surgery_outcome,gold,0.44999999999999996,99
MedSigLIP-MRI (LR),surgery_outcome,bronze,0.0,1
MedSigLIP-MRI (LR),status_epilepticus,silver,0.5,4
MedSigLIP-MRI (LR),status_epilepticus,gold,0.317989417989418,74
MedSigLIP-MRI (LR),status_epilepticus,bronze,0.5,4
MedSigLIP-EEG (LR),epilepsy_type,silver,0.41468253968253965,46
MedSigLIP-EEG (LR),epilepsy_type,gold,0.2783633862345358,206
MedSigLIP-EEG (LR),epilepsy_type,bronze,0.326614552232054,166
MedSigLIP-EEG (LR),seizure_type,silver,0.36761363636363636,67
MedSigLIP-EEG (LR),seizure_type,gold,0.3339974457215837,217
MedSigLIP-EEG (LR),seizure_type,bronze,0.45765559018571067,141
MedSigLIP-EEG (LR),ez_localization,silver,0.20555555555555555,26
MedSigLIP-EEG (LR),ez_localization,gold,0.3334368874054166,209
MedSigLIP-EEG (LR),ez_localization,bronze,0.411051051051051,37
MedSigLIP-EEG (LR),aed_response,silver,0.1992337164750958,65
MedSigLIP-EEG (LR),aed_response,gold,0.27821359155299513,208
MedSigLIP-EEG (LR),aed_response,bronze,0.3602693602693603,30
MedSigLIP-EEG (LR),surgery_outcome,silver,0.7424242424242424,17
MedSigLIP-EEG (LR),surgery_outcome,gold,0.3185714285714286,53
MedSigLIP-EEG (LR),surgery_outcome,bronze,,0
MedSigLIP-EEG (LR),status_epilepticus,silver,0.3333333333333333,2
MedSigLIP-EEG (LR),status_epilepticus,gold,0.23797979797979796,79
MedSigLIP-EEG (LR),status_epilepticus,bronze,0.3333333333333333,2
MedSigLIP-MRI (MLP),epilepsy_type,silver,0.2721661054994388,105
MedSigLIP-MRI (MLP),epilepsy_type,gold,0.289859817282176,273
MedSigLIP-MRI (MLP),epilepsy_type,bronze,0.42311533273814017,270
MedSigLIP-MRI (MLP),seizure_type,silver,0.4386901270772238,123
MedSigLIP-MRI (MLP),seizure_type,gold,0.3256757522276093,293
MedSigLIP-MRI (MLP),seizure_type,bronze,0.23262708996141612,184
MedSigLIP-MRI (MLP),ez_localization,silver,0.5782100465604302,49
MedSigLIP-MRI (MLP),ez_localization,gold,0.4380799857234283,275
MedSigLIP-MRI (MLP),ez_localization,bronze,0.47277432712215317,102
MedSigLIP-MRI (MLP),aed_response,silver,0.1899262620533182,67
MedSigLIP-MRI (MLP),aed_response,gold,0.39948235849764385,280
MedSigLIP-MRI (MLP),aed_response,bronze,0.38095238095238093,35
MedSigLIP-MRI (MLP),surgery_outcome,silver,0.18181818181818182,9
MedSigLIP-MRI (MLP),surgery_outcome,gold,0.4567735641994879,99
MedSigLIP-MRI (MLP),surgery_outcome,bronze,0.0,1
MedSigLIP-MRI (MLP),status_epilepticus,silver,0.5,4
MedSigLIP-MRI (MLP),status_epilepticus,gold,0.33138401559454195,74
MedSigLIP-MRI (MLP),status_epilepticus,bronze,0.13333333333333333,4
MedSigLIP-EEG (MLP),epilepsy_type,silver,0.28501228501228504,46
MedSigLIP-EEG (MLP),epilepsy_type,gold,0.26743881943372605,206
MedSigLIP-EEG (MLP),epilepsy_type,bronze,0.2569916267942584,166
MedSigLIP-EEG (MLP),seizure_type,silver,0.512118018967334,67
MedSigLIP-EEG (MLP),seizure_type,gold,0.3597014925373134,217
MedSigLIP-EEG (MLP),seizure_type,bronze,0.4168136390358612,141
MedSigLIP-EEG (MLP),ez_localization,silver,0.22962962962962963,26
MedSigLIP-EEG (MLP),ez_localization,gold,0.28999786169836933,209
MedSigLIP-EEG (MLP),ez_localization,bronze,0.3407834101382488,37
MedSigLIP-EEG (MLP),aed_response,silver,0.20022948938611587,65
MedSigLIP-EEG (MLP),aed_response,gold,0.2432428575505894,208
MedSigLIP-EEG (MLP),aed_response,bronze,0.4276094276094276,30
MedSigLIP-EEG (MLP),surgery_outcome,silver,0.6886446886446886,17
MedSigLIP-EEG (MLP),surgery_outcome,gold,0.5077399380804953,53
MedSigLIP-EEG (MLP),surgery_outcome,bronze,,0
MedSigLIP-EEG (MLP),status_epilepticus,silver,0.3333333333333333,2
MedSigLIP-EEG (MLP),status_epilepticus,gold,0.35081754897199285,79
MedSigLIP-EEG (MLP),status_epilepticus,bronze,0.3333333333333333,2
BiomedCLIP-MRI (LR),epilepsy_type,silver,0.28502747252747257,105
BiomedCLIP-MRI (LR),epilepsy_type,gold,0.244403434525174,273
BiomedCLIP-MRI (LR),epilepsy_type,bronze,0.3766555606584091,270
BiomedCLIP-MRI (LR),seizure_type,silver,0.5396633423240961,123
BiomedCLIP-MRI (LR),seizure_type,gold,0.32396433571723254,293
BiomedCLIP-MRI (LR),seizure_type,bronze,0.29346513491851456,184
BiomedCLIP-MRI (LR),ez_localization,silver,0.37030075187969924,49
BiomedCLIP-MRI (LR),ez_localization,gold,0.38353326247630853,275
BiomedCLIP-MRI (LR),ez_localization,bronze,0.42316433566433564,102
BiomedCLIP-MRI (LR),aed_response,silver,0.31093544137022394,67
BiomedCLIP-MRI (LR),aed_response,gold,0.3587037560391349,280
BiomedCLIP-MRI (LR),aed_response,bronze,0.37253968253968256,35
BiomedCLIP-MRI (LR),surgery_outcome,silver,0.1,9
BiomedCLIP-MRI (LR),surgery_outcome,gold,0.40975609756097564,99
BiomedCLIP-MRI (LR),surgery_outcome,bronze,0.0,1
BiomedCLIP-MRI (LR),status_epilepticus,silver,0.0,4
BiomedCLIP-MRI (LR),status_epilepticus,gold,0.33238929284002194,74
BiomedCLIP-MRI (LR),status_epilepticus,bronze,0.13333333333333333,4
BiomedCLIP-EEG (LR),epilepsy_type,silver,0.25081300813008134,46
BiomedCLIP-EEG (LR),epilepsy_type,gold,0.30153373074871737,206
BiomedCLIP-EEG (LR),epilepsy_type,bronze,0.32151991614255765,166
BiomedCLIP-EEG (LR),seizure_type,silver,0.3583068783068783,67
BiomedCLIP-EEG (LR),seizure_type,gold,0.3962406015037594,217
BiomedCLIP-EEG (LR),seizure_type,bronze,0.4014035941746785,141
BiomedCLIP-EEG (LR),ez_localization,silver,0.20995670995670995,26
BiomedCLIP-EEG (LR),ez_localization,gold,0.29050035763666726,209
BiomedCLIP-EEG (LR),ez_localization,bronze,0.12352941176470589,37
BiomedCLIP-EEG (LR),aed_response,silver,0.2860907208733296,65
BiomedCLIP-EEG (LR),aed_response,gold,0.31242553493862396,208
BiomedCLIP-EEG (LR),aed_response,bronze,0.2934865900383142,30
BiomedCLIP-EEG (LR),surgery_outcome,silver,0.5952380952380952,17
BiomedCLIP-EEG (LR),surgery_outcome,gold,0.4142602495543672,53
BiomedCLIP-EEG (LR),surgery_outcome,bronze,,0
BiomedCLIP-EEG (LR),status_epilepticus,silver,0.3333333333333333,2
BiomedCLIP-EEG (LR),status_epilepticus,gold,0.26957719970424143,79
BiomedCLIP-EEG (LR),status_epilepticus,bronze,0.3333333333333333,2
BiomedCLIP-MRI (MLP),epilepsy_type,silver,0.26507035107234156,105
BiomedCLIP-MRI (MLP),epilepsy_type,gold,0.25134464691426717,273
BiomedCLIP-MRI (MLP),epilepsy_type,bronze,0.34136485224514657,270
BiomedCLIP-MRI (MLP),seizure_type,silver,0.4560503823661719,123
BiomedCLIP-MRI (MLP),seizure_type,gold,0.35447420634920634,293
BiomedCLIP-MRI (MLP),seizure_type,bronze,0.2946777381321409,184
BiomedCLIP-MRI (MLP),ez_localization,silver,0.20640935419260545,49
BiomedCLIP-MRI (MLP),ez_localization,gold,0.34860424235321696,275
BiomedCLIP-MRI (MLP),ez_localization,bronze,0.4261086593610023,102
BiomedCLIP-MRI (MLP),aed_response,silver,0.3466721957287995,67
BiomedCLIP-MRI (MLP),aed_response,gold,0.3245876123046905,280
BiomedCLIP-MRI (MLP),aed_response,bronze,0.364062329737387,35
BiomedCLIP-MRI (MLP),surgery_outcome,silver,0.325,9
BiomedCLIP-MRI (MLP),surgery_outcome,gold,0.5599999999999999,99
BiomedCLIP-MRI (MLP),surgery_outcome,bronze,0.0,1
BiomedCLIP-MRI (MLP),status_epilepticus,silver,0.16666666666666666,4
BiomedCLIP-MRI (MLP),status_epilepticus,gold,0.2425512744154793,74
BiomedCLIP-MRI (MLP),status_epilepticus,bronze,0.16666666666666666,4
BiomedCLIP-EEG (MLP),epilepsy_type,silver,0.2622739018087855,46
BiomedCLIP-EEG (MLP),epilepsy_type,gold,0.2878990509059534,206
BiomedCLIP-EEG (MLP),epilepsy_type,bronze,0.32440470727893256,166
BiomedCLIP-EEG (MLP),seizure_type,silver,0.35148321623731454,67
BiomedCLIP-EEG (MLP),seizure_type,gold,0.39121924966420724,217
BiomedCLIP-EEG (MLP),seizure_type,bronze,0.383911513323278,141
BiomedCLIP-EEG (MLP),ez_localization,silver,0.22233201581027667,26
BiomedCLIP-EEG (MLP),ez_localization,gold,0.3172800548431958,209
BiomedCLIP-EEG (MLP),ez_localization,bronze,0.15229885057471265,37
BiomedCLIP-EEG (MLP),aed_response,silver,0.28032559062934287,65
BiomedCLIP-EEG (MLP),aed_response,gold,0.2522919274221609,208
BiomedCLIP-EEG (MLP),aed_response,bronze,0.2913165266106443,30
BiomedCLIP-EEG (MLP),surgery_outcome,silver,0.39285714285714285,17
BiomedCLIP-EEG (MLP),surgery_outcome,gold,0.4142602495543672,53
BiomedCLIP-EEG (MLP),surgery_outcome,bronze,,0
BiomedCLIP-EEG (MLP),status_epilepticus,silver,0.3333333333333333,2
BiomedCLIP-EEG (MLP),status_epilepticus,gold,0.2601930357809417,79
BiomedCLIP-EEG (MLP),status_epilepticus,bronze,0.3333333333333333,2
Late fusion (text+MRI+EEG),epilepsy_type,silver,0.6258881116037625,1290
Late fusion (text+MRI+EEG),epilepsy_type,gold,0.5396892026914983,390
Late fusion (text+MRI+EEG),epilepsy_type,bronze,0.5905685845630825,6194
Late fusion (text+MRI+EEG),seizure_type,silver,0.5315916304180376,962
Late fusion (text+MRI+EEG),seizure_type,gold,0.573714902079752,425
Late fusion (text+MRI+EEG),seizure_type,bronze,0.503454866201171,4998
Late fusion (text+MRI+EEG),ez_localization,silver,0.5669385070064187,1051
Late fusion (text+MRI+EEG),ez_localization,gold,0.6034210653616376,401
Late fusion (text+MRI+EEG),ez_localization,bronze,0.6040336461233028,3457
Late fusion (text+MRI+EEG),aed_response,silver,0.4131899558766499,738
Late fusion (text+MRI+EEG),aed_response,gold,0.4643159437293111,401
Late fusion (text+MRI+EEG),aed_response,bronze,0.3910505960389399,2467
Late fusion (text+MRI+EEG),surgery_outcome,silver,0.46738844280637093,249
Late fusion (text+MRI+EEG),surgery_outcome,gold,0.4205652025876745,127
Late fusion (text+MRI+EEG),surgery_outcome,bronze,0.4716460946985026,633
Late fusion (text+MRI+EEG),status_epilepticus,silver,0.35873015873015873,42
Late fusion (text+MRI+EEG),status_epilepticus,gold,0.4903520541818414,121
Late fusion (text+MRI+EEG),status_epilepticus,bronze,0.40464023692666906,243
PMB-text + MedSigLIP late fusion,epilepsy_type,silver,0.42372104014030637,1290
PMB-text + MedSigLIP late fusion,epilepsy_type,gold,0.28621524998500486,390
PMB-text + MedSigLIP late fusion,epilepsy_type,bronze,0.4050162301917235,6194
PMB-text + MedSigLIP late fusion,seizure_type,silver,0.4123984181736959,962
PMB-text + MedSigLIP late fusion,seizure_type,gold,0.41870573581389864,425
PMB-text + MedSigLIP late fusion,seizure_type,bronze,0.3581928514422757,4998
PMB-text + MedSigLIP late fusion,ez_localization,silver,0.2775155468508797,1051
PMB-text + MedSigLIP late fusion,ez_localization,gold,0.41616836594431106,401
PMB-text + MedSigLIP late fusion,ez_localization,bronze,0.27392173564674194,3457
PMB-text + MedSigLIP late fusion,aed_response,silver,0.36889933861404645,738
PMB-text + MedSigLIP late fusion,aed_response,gold,0.4348784454716658,401
PMB-text + MedSigLIP late fusion,aed_response,bronze,0.32500008107472617,2467
PMB-text + MedSigLIP late fusion,surgery_outcome,silver,0.3859831278390655,249
PMB-text + MedSigLIP late fusion,surgery_outcome,gold,0.49575575027382257,127
PMB-text + MedSigLIP late fusion,surgery_outcome,bronze,0.5116728457476688,633
PMB-text + MedSigLIP late fusion,status_epilepticus,silver,0.364274116962289,42
PMB-text + MedSigLIP late fusion,status_epilepticus,gold,0.391005291005291,121
PMB-text + MedSigLIP late fusion,status_epilepticus,bronze,0.3840736956486482,243
Joint MLP (PMB+MedSigLIP),epilepsy_type,silver,0.480105893995205,1290
Joint MLP (PMB+MedSigLIP),epilepsy_type,gold,0.27552573222446003,390
Joint MLP (PMB+MedSigLIP),epilepsy_type,bronze,0.42895697630747676,6194
Joint MLP (PMB+MedSigLIP),seizure_type,silver,0.4240631742807864,962
Joint MLP (PMB+MedSigLIP),seizure_type,gold,0.39864221550689233,425
Joint MLP (PMB+MedSigLIP),seizure_type,bronze,0.3349617766507963,4998
Joint MLP (PMB+MedSigLIP),ez_localization,silver,0.36708657643565595,1051
Joint MLP (PMB+MedSigLIP),ez_localization,gold,0.366911418330292,401
Joint MLP (PMB+MedSigLIP),ez_localization,bronze,0.3969730307645004,3457
Joint MLP (PMB+MedSigLIP),aed_response,silver,0.4275603253349533,738
Joint MLP (PMB+MedSigLIP),aed_response,gold,0.3169895314645755,401
Joint MLP (PMB+MedSigLIP),aed_response,bronze,0.3936085140848294,2467
Joint MLP (PMB+MedSigLIP),surgery_outcome,silver,0.5698370925295058,249
Joint MLP (PMB+MedSigLIP),surgery_outcome,gold,0.5006341958396753,127
Joint MLP (PMB+MedSigLIP),surgery_outcome,bronze,0.4848299498544161,633
Joint MLP (PMB+MedSigLIP),status_epilepticus,silver,0.4291666666666667,42
Joint MLP (PMB+MedSigLIP),status_epilepticus,gold,0.39801119224448184,121
Joint MLP (PMB+MedSigLIP),status_epilepticus,bronze,0.3471881031759958,243
Joint MLP (PMB+BiomedCLIP),epilepsy_type,silver,0.5088259888516842,1290
Joint MLP (PMB+BiomedCLIP),epilepsy_type,gold,0.2986774922104794,390
Joint MLP (PMB+BiomedCLIP),epilepsy_type,bronze,0.43745111156799965,6194
Joint MLP (PMB+BiomedCLIP),seizure_type,silver,0.4252338868922969,962
Joint MLP (PMB+BiomedCLIP),seizure_type,gold,0.41001697261209125,425
Joint MLP (PMB+BiomedCLIP),seizure_type,bronze,0.3286171100709067,4998
Joint MLP (PMB+BiomedCLIP),ez_localization,silver,0.38675330010674747,1051
Joint MLP (PMB+BiomedCLIP),ez_localization,gold,0.39388220377920335,401
